trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
216,False,"{'a': 0.8, 'e': 0.47132836417373997}",25,0,4.646708688678118,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
217,False,"{'a': 0.8, 'e': 0.4669127019211353}",25,0,-115.59670544770869,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
218,False,"{'a': 0.8, 'e': 0.4624853668753008}",25,8,3.161841242148369,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.8, 'e': 0.45804646971938234}",25,1,-16.171726068066874,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
220,False,"{'a': 0.8, 'e': 0.4535961214255773}",20,4,18.75901196433238,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.8, 'e': 0.4491344332523616}",30,12,-30.53804405911146,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
222,False,"{'a': 0.8, 'e': 0.44466151674170673}",30,20,16.95955994120322,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.8, 'e': 0.440177483716293}",20,14,1.1826034660456846,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.8, 'e': 0.43568244627671204}",20,8,13.805378674874047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.8, 'e': 0.4311765167986662}",30,7,-19.643528835323195,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
226,False,"{'a': 0.8, 'e': 0.42665980793015723}",20,14,10.499461291287146,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.8, 'e': 0.422132432588672}",25,7,21.749133374508958,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.8, 'e': 0.41759450395835795}",25,0,-13.84612750182356,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
229,False,"{'a': 0.8, 'e': 0.4130461354871949}",20,0,-59.843501350978045,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
230,False,"{'a': 0.8, 'e': 0.40848744088415717}",30,10,-28.69550867373036,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
231,False,"{'a': 0.8, 'e': 0.40391853411637296}",25,1,5.511765274110435,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
232,False,"{'a': 0.8, 'e': 0.3993395294062732}",25,8,7.946197049049648,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.8, 'e': 0.39475054122873704}",20,0,-55.71543935736076,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
234,False,"{'a': 0.8, 'e': 0.3901516843082303}",20,0,-3.864904082372828,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
235,False,"{'a': 0.8, 'e': 0.385543073615936}",25,3,-65.64608993257511,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
236,False,"{'a': 0.8, 'e': 0.3809248243668818}",20,14,-2.769242532580032,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.8, 'e': 0.3762970520170581}",25,4,-69.53146253176588,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 2}",1
238,False,"{'a': 0.8, 'e': 0.371659872260533}",20,4,-40.691655967319065,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
